"No.","Time","Delta","Source","Destination","Protocol","Length","Src Port","Dst Port","Info"
"12668","431.831972","0.039963","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12669","431.860819","0.028847","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12670","431.891606","0.030787","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12671","431.927098","0.035492","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12672","431.960504","0.033406","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12673","431.991938","0.031434","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12674","432.030615","0.038677","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12675","432.065244","0.034629","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12676","432.100188","0.034944","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12677","432.131167","0.030979","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12678","432.171404","0.040237","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12679","432.210864","0.039460","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12680","432.243894","0.033030","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12681","432.274657","0.030763","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12682","432.316568","0.041911","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12683","432.354927","0.038359","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12684","432.384944","0.030017","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12685","432.417806","0.032862","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12686","432.446868","0.029062","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12687","432.476333","0.029465","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12688","432.519906","0.043573","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12689","432.555845","0.035939","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12690","432.588424","0.032579","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12691","432.619962","0.031538","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12692","432.652658","0.032696","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12693","432.685030","0.032372","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12694","432.724728","0.039698","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12695","432.753474","0.028746","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12696","432.794084","0.040610","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12697","432.823763","0.029679","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12698","432.856908","0.033145","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12699","432.890724","0.033816","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12700","432.919665","0.028941","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12701","432.950965","0.031300","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12702","432.951010","0.000045","192.168.21.67","236.10.10.10","PSN","109","59993","56565","59993  >  56565 Len=77"
"12703","432.982160","0.031150","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12704","433.018872","0.036712","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12705","433.056345","0.037473","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12706","433.091684","0.035339","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12707","433.125011","0.033327","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12708","433.156753","0.031742","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12709","433.186984","0.030231","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
"12710","433.218691","0.031707","192.168.21.67","236.10.10.10","PSN","80","59993","56565","59993  >  56565 Len=48"
